Country;ISO Code;Region;ADM1;Affected Pop Share;Type;Meta (e.g. group size thresholds;Start;End;Source;Comment
US;US;New Jersey;NJ;1,00;Cancelation of Large Events;250;2020-03-16;;https://en.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education#School_and_university_closures;
US;US;Connecticut;CT;1,00;Cancelation of Large Events;250;2020-03-16;;https://en.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education#School_and_university_closures;
US;US;California;CA;1,00;Curfew (Lockdown of All Non-Essential Public Life);;2020-03-20;;https://www.theguardian.com/world/2020/mar/19/coronavirus-california-more-than-half-gavin-newsom;
US;US;Illinois;IL;1,00;Curfew (Lockdown of All Non-Essential Public Life);;2020-03-21;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;New York;NY;1,00;Restaurant/Bar Closure;;2020-03-16;;https://en.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education#School_and_university_closures;
US;US;Connecticut;CT;1,00;Restaurant/Bar Closure;;2020-03-16;;https://en.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education#School_and_university_closures;
US;US;Indiana;IN;1,00;Restaurant/Bar Closure;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Maryland;MD;1,00;Restaurant/Bar Closure;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Michigan;MI;1,00;Restaurant/Bar Closure;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;New Hampshire;NH;1,00;Restaurant/Bar Closure;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;New Jersey;NJ;1,00;Restaurant/Bar Closure;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Pennsylvania;PA;1,00;Restaurant/Bar Closure;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;not clear about the date for bar closures
US;US;Washington;WA;1,00;Restaurant/Bar Closure;;2020-03-16;;https://www.governor.wa.gov/news-media/inslee-statement-statewide-shutdown-restaurants-bars-and-limits-size-gatherings-expanded, https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Hawaii;HI;1,00;Restaurant/Bar Closure;;2020-03-17;;https://www.hawaiinewsnow.com/2020/03/18/live-governor-discuss-latest-efforts-stem-spread-coronavirus/;
US;US;Illinois;IL;1,00;Restaurant/Bar Closure;;2020-03-17;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Iowa;IA;1,00;Restaurant/Bar Closure;;2020-03-17;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;not sure if school closure already in place on 16th March
US;US;Kentucky;KY;1,00;Restaurant/Bar Closure;;2020-03-17;;https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=94;
US;US;Louisiana;LA;1,00;Restaurant/Bar Closure;;2020-03-17;;https://gov.louisiana.gov/index.cfm/newsroom/detail/2411;
US;US;Massachusetts;MA;1,00;Restaurant/Bar Closure;;2020-03-17;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Minnesota;MN;1,00;Restaurant/Bar Closure;;2020-03-17;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;North Carolina;NC;1,00;Restaurant/Bar Closure;;2020-03-17;;https://files.nc.gov/governor/documents/files/EO118.pdf;
US;US;Oregon;OR;1,00;Restaurant/Bar Closure;;2020-03-17;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Rhode Island;RI;1,00;Restaurant/Bar Closure;;2020-03-17;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
