Country;ISO Code;Region;ADM1;Affected Pop Share;Type;Meta (e.g. group size thresholds;Start;End;Source;Comment
Germany;DE;Schleswig-Holstein;10;1,00;Daycare Closings;;2020-03-16;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Thuringia;15;1,00;Daycare Closings;;2020-03-16;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Baden-Württemberg;1;1,00;Daycare Closings;;2020-03-17;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Brandenburg;11;1,00;Daycare Closings;;2020-03-18;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Mecklenburg-Vorpommern;12;1,00;Daycare Closings;;2020-03-18;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Saxony;13;1,00;Daycare Closings;;2020-03-18;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Bavaria;2;1,00;School Closings;;2020-03-16;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Berlin;16;1,00;School Closings;;2020-03-16;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Bremen;3;1,00;School Closings;;2020-03-16;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Hamburg;4;1,00;School Closings;;2020-03-16;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Hesse;5;1,00;School Closings;;2020-03-16;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Lower Saxony;6;1,00;School Closings;;2020-03-16;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;North Rhine-Westphalia;7;1,00;School Closings;;2020-03-16;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Rhineland-Palatinate;8;1,00;School Closings;;2020-03-16;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Saarland;9;1,00;School Closings;;2020-03-16;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Saxony-Anhalt;14;1,00;School Closings;;2020-03-16;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Schleswig-Holstein;10;1,00;School Closings;;2020-03-16;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Thuringia;15;1,00;School Closings;;2020-03-16;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Baden-Württemberg;1;1,00;School Closings;;2020-03-17;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Brandenburg;11;1,00;School Closings;;2020-03-18;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Mecklenburg-Vorpommern;12;1,00;School Closings;;2020-03-18;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;Saxony;13;1,00;School Closings;;2020-03-18;;https://www.tagesschau.de/inland/corona-schulschliessungen-101.html;
Germany;DE;;;1,00;Curfew (Mild, Only Private Public Life);;2020-03-22;;https://www.iamexpat.de/expat-info/german-expat-news/new-coronavirus-restrictions-germany-whats-allowed-and-whats-not;
Germany;DE;;;1,00;Social Distancing Encouraged;;2020-03-16;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Germany#January;
Iran;IR;;;1,00;Cancelation of Large Events;;2020-02-22;;https://en.radiofarda.com/a/iranian-doctors-call-for-long-holiday-to-contain-coronavirus-outbreak/30449047.html;
Iran;IR;;;1,00;Curfew (Mild, Only Private Public Life);;2020-03-13;;https://www.theguardian.com/world/2020/mar/13/revolutionary-guards-enforce-coronavirus-controls-iran;
Iran;IR;;;0,50;School Closings;;2020-02-22;2020-04-03;https://en.radiofarda.com/a/iran-announces-closure-of-universities-schools-to-fight-coronavirus/30449711.html;Only Partial and only Partially enforced
Iran;IR;;;1,00;School Closings;;2020-05-03;;https://www.bbc.co.uk/news/world-middle-east-51760563;
Iran;IR;;;0,50;University Closings;;2020-02-22;2020-04-03;https://en.radiofarda.com/a/iran-announces-closure-of-universities-schools-to-fight-coronavirus/30449711.html;Only Partial and only Partially enforced
Iran;IR;;;1,00;University Closings;;2020-05-03;;https://www.bbc.co.uk/news/world-middle-east-51760563;
Italy;IT;;;1,00;Ban of Group Gatherings;0;2020-09-03;;implied by lockdown;
Italy;IT;;;1,00;Cancelation of Large Events;0;2020-09-03;;implied by lockdown;
Italy;IT;;;1,00;Curfew (Lockdown of All Non-Essential Public Life);;2020-11-03;;https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown#cite_note-nyt8march-39;
Italy;IT;Lombardy;9;1,00;Curfew (Mild, Only Private Public Life);;2020-08-03;;https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown#cite_note-nyt8march-39;actually includes fourteen provinces in Piedmont, Veneto, Emilia-Romagna, and Marche
Italy;IT;;;1,00;Curfew (Mild, Only Private Public Life);;2020-09-03;;https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown#cite_note-nyt8march-39;
Italy;IT;;;1,00;Restaurant/Bar Closure;;2020-11-03;;https://time.com/5801497/italy-shops-restaurants-coronavirus/;
Italy;IT;Abruzzo;1;1,00;School Closings;;2020-02-23;;https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education;
Italy;IT;Friuli Venezia Giulia;6;1,00;School Closings;;2020-02-23;;https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education;
Italy;IT;Liguria;8;1,00;School Closings;;2020-02-23;;https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education;
Italy;IT;Marche;10;1,00;School Closings;;2020-02-23;;https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education;
Italy;IT;Trentino Alto-adige;17;1,00;School Closings;;2020-02-23;;https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education;
Italy;IT;Apulia;13;1,00;School Closings;;2020-02-27;;https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education;
Italy;IT;Emilia-Romagna;5;1,00;School Closings;;2020-01-03;;https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education;
Italy;IT;Lombardy;9;1,00;School Closings;;2020-01-03;;https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education;
Italy;IT;Veneto;20;1,00;School Closings;;2020-01-03;;https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education;
Italy;IT;;;1,00;School Closings;;2020-04-03;;https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education;
Italy;IT;;;1,00;Testing only symptomatic;;2020-02-26;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management;
Italy;IT;Emilia-Romagna;5;1,00;University Closings;;2020-02-23;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management;
Italy;IT;Lombardy;9;1,00;University Closings;;2020-02-23;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management;
Italy;IT;Piedmont;12;1,00;University Closings;;2020-02-23;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management;
Italy;IT;Trentino Alto-adige;17;1,00;University Closings;;2020-02-23;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management;
Italy;IT;Veneto;20;1,00;University Closings;;2020-02-23;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management;
Japan;JP;;12;0,04;School Closings;;2020-02-18;2020-01-03;https://www.businessinsider.de/international/coronavirus-japan-hokkaido-infections-lockdown-photos-2020-3/?r=US&IR=T;hokkaido
Japan;JP;;12;0,04;Restaurant/Bar Closure;;2020-02-18;;https://www.businessinsider.de/international/coronavirus-japan-hokkaido-infections-lockdown-photos-2020-3/?r=US&IR=T;hokkaido
Japan;JP;;;1,00;Cancelation of Large Events;1000;2020-02-25;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan#Government_response;
Japan;JP;;;1,00;Cluster Tracking and Containment;;2020-02-25;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan#Government_response;
Japan;JP;;;1,00;School Closings;;2020-02-03;;https://www.straitstimes.com/asia/east-asia/coronavirus-japan-to-close-all-public-schools-for-a-month-starting-march-2;
Japan;JP;;;1,00;Social Distancing Encouraged;;2020-02-25;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan#Government_response;
South Korea;KR;;;1,00;Border Closing;;2020-03-17;;https://www.straitstimes.com/asia/east-asia/skorea-reports-84-new-coronavirus-cases-total-at-8320;
South Korea;KR;;;1,00;Cluster Tracking and Containment;;2020-01-20;;https://www.bbc.com/news/world-asia-51836898;
Netherlands;NL;;;1,00;Cancelation of Large Events;100;2020-12-03;;https://nos.nl/liveblog/2326799-persconferentie-rutte-na-crisisoverleg-111-nieuwe-patienten-in-nederland.html;
Netherlands;NL;;;1,00;Daycare Closings;;2020-03-15;;https://nos.nl/artikel/2327194-alle-scholen-en-horeca-tot-6-april-dicht-in-strijd-tegen-coronavirus.html;
Netherlands;NL;;;1,00;Public Talk of Central Govt Figure; Prime Minister Mark Rutte;2020-03-16;;https://www.volkskrant.nl/gs-bea83379;
Netherlands;NL;;;1,00;Public Talk of Central Govt Figure;King;2020-03-20;;https://nos.nl/l/2327794;
Netherlands;NL;;;1,00;Restaurant/Bar Closure;;2020-03-15;;https://nos.nl/artikel/2327194-alle-scholen-en-horeca-tot-6-april-dicht-in-strijd-tegen-coronavirus.html;
